"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что при повторной регистрации возвращается 403 и success=false","1694","Создание пользователя, который уже зарегистрирован","tests","2026-09-06","passed","2026-09-06","TestCreateUser","test_create_user","",""
"Проверка, что нельзя залогиниться, если ввести неверный логин(email), ответ 401 и success=false","2995","Логин c неверным логином","tests","2026-09-06","passed","2026-09-06","TestLoginUser","test_login_user","",""
"Проверка, что нельзя залогиниться, если ввести неверный пароль, ответ 401 и success=false","4001","Логин c неверным паролем","tests","2026-09-06","passed","2026-09-06","TestLoginUser","test_login_user","",""
"Проверка, что если не заполнить обязательное поле Логин возвращается 403 и success=false","636","создание пользователя, если не заполнено поле Логин(email)","tests","2026-09-06","passed","2026-09-06","TestCreateUser","test_create_user","",""
"без ингредиентов невозможно сделать заказ, ответ 400 и success=false","2762","Создание заказа без ингредиентов","tests","2026-09-06","passed","2026-09-06","TestCreateOrder","test_create_order","",""
"без ингредиентов невозможно сделать заказ, ответ 400 и success=false","3236","Создание заказа без ингредиентов","","2026-09-06","passed","2026-09-06","","","",""
"Проверка, что если не заполнить обязательное поле Пароль возвращается 403 и success=false","1034","создание пользователя, если не заполнено поле Пароль","tests","2026-09-06","passed","2026-09-06","TestCreateUser","test_create_user","",""
"Проверка успешного создания заказа с одним ингредиентом, ответ 200 и success=true","6862","Создание заказа с 1 ингредиентом","tests","2026-09-06","passed","2026-09-06","TestCreateOrder","test_create_order","",""
"Проверка успешного логина пользователя, ответ 200 и success=true","1926","Логин под существующим пользователем","tests","2026-09-06","passed","2026-09-06","TestLoginUser","test_login_user","",""
"Проверка успешного создания пользователя, ответ 200 и success=true","990","Создание уникального пользователя","tests","2026-09-06","passed","2026-09-06","TestCreateUser","test_create_user","",""
"Нельзя создать заказ с неверным хэшем ингредиентов, ответ 500","3907","Создание заказа с неверным хэшем ингредиентов","tests","2026-09-06","passed","2026-09-06","TestCreateOrder","test_create_order","",""
"Проверка успешного создания заказа с авторизованным пользователем, ответ 200 и success=true","4023","Создание заказа с авторизованным пользователем","tests","2026-09-06","passed","2026-09-06","TestCreateOrder","test_create_order","",""
"Проверка успешного создания заказа не авторизованным пользователем, ответ 200 и success=true","1379","Создание заказа без авторизации пользователя","tests","2026-09-06","passed","2026-09-06","TestCreateOrder","test_create_order","",""
